tenth_pct,twelfth_pct,graduation_pct,skill_count,skills,interest,city,career,salary
83.96,82.85,73.57,6,"python,css,aws,sql,dl,linux",web,Pune,AI / Data Science,12.38
96.46,76.95,75.52,3,"excel,sql,css",data,Patna,Software Development,8.84
70.8,78.38,64.54,1,dl,web,Bangalore,Software Development,7.32
88.58,80.51,56.52,4,"sql,css,java,html",security,Delhi,Software Development,7.79
86.38,87.77,76.25,4,"aws,excel,linux,c++",security,Delhi,Software Development,9.78
86.83,80.6,61.85,2,"ml,sql",mobile,Noida,AI / Data Science,8.51
84.02,93.28,74.11,4,"sql,java,ml,html",govt,Patna,AI / Data Science,11.15
81.13,81.17,64.93,0,,web,Noida,Software Development,6.97
65.13,57.19,53.63,1,dl,data,Kolkata,Software Development,6.36
64.2,58.0,58.96,1,ml,security,Kolkata,Software Development,7.18
85.79,76.01,70.92,1,linux,web,Patna,Software Development,7.92
84.02,82.84,69.85,5,"html,excel,sql,js,dl",data,Noida,AI / Data Science,9.45
84.8,83.49,67.76,0,,ai,Delhi,AI / Data Science,9.88
99.0,88.45,81.37,4,"git,excel,linux,dl",security,Bangalore,AI / Data Science,11.61
78.5,77.41,63.58,4,"dl,css,sql,excel",web,Hyderabad,AI / Data Science,10.21
99.0,99.0,72.83,5,"c++,linux,excel,java,sql",web,Patna,Data Analyst,9.43
71.33,70.31,47.09,6,"html,aws,js,c++,python,linux",mobile,Hyderabad,Software Development,8.32
71.87,81.55,62.49,2,"aws,linux",data,Kolkata,Cyber Security,6.65
84.06,90.99,61.66,2,"aws,linux",govt,Jaipur,Cyber Security,7.58
80.75,78.03,59.05,4,"aws,ml,dl,java",security,Kolkata,AI / Data Science,10.11
99.0,99.0,87.08,7,"git,css,html,linux,dl,java,aws",security,Pune,AI / Data Science,14.09
83.36,74.2,69.88,1,ml,web,Noida,AI / Data Science,8.45
70.53,67.69,65.99,6,"java,aws,css,js,sql,linux",security,Delhi,Data Analyst,7.46
59.67,61.11,60.84,4,"git,linux,html,sql",security,Delhi,Cyber Security,5.95
82.7,81.71,65.94,7,"css,sql,js,python,ml,linux,git",ai,Jaipur,AI / Data Science,10.75
67.23,67.84,51.86,4,"java,excel,aws,c++",web,Kolkata,Data Analyst,5.63
